EPSG,ESRI
3191,"PROJCS[""LGD2006_Libya_TM_zone_6"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",11],PARAMETER[""scale_factor"",0.99995],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3192,"PROJCS[""LGD2006_Libya_TM_zone_7"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",13],PARAMETER[""scale_factor"",0.99995],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3193,"PROJCS[""LGD2006_Libya_TM_zone_8"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",15],PARAMETER[""scale_factor"",0.99995],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3194,"PROJCS[""LGD2006_Libya_TM_zone_9"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",17],PARAMETER[""scale_factor"",0.99995],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3195,"PROJCS[""LGD2006_Libya_TM_zone_10"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",19],PARAMETER[""scale_factor"",0.99995],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3196,"PROJCS[""LGD2006_Libya_TM_zone_11"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",21],PARAMETER[""scale_factor"",0.99995],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3197,"PROJCS[""LGD2006_Libya_TM_zone_12"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",23],PARAMETER[""scale_factor"",0.99995],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3198,"PROJCS[""LGD2006_Libya_TM_zone_13"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",25],PARAMETER[""scale_factor"",0.99995],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3199,"PROJCS[""LGD2006_UTM_zone_32N"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",9],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3200,"PROJCS[""FD58_Iraq_zone"",GEOGCS[""GCS_FD58"",DATUM[""D_FD_1958"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""latitude_of_origin"",32.5],PARAMETER[""central_meridian"",45],PARAMETER[""scale_factor"",0.9987864078],PARAMETER[""false_easting"",1500000],PARAMETER[""false_northing"",1166200],UNIT[""Meter"",1],PARAMETER[""standard_parallel_1"",32.5]]"
3201,"PROJCS[""LGD2006_UTM_zone_33N"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",15],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3202,"PROJCS[""LGD2006_UTM_zone_34N"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",21],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3203,"PROJCS[""LGD2006_UTM_zone_35N"",GEOGCS[""GCS_LGD2006"",DATUM[""D_Libyan_Geodetic_Datum_2006"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",27],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3204,"PROJCS[""WGS_84_SCAR_IMW_SP19_20"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-60.66666666666666],PARAMETER[""standard_parallel_2"",-63.33333333333334],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-66],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3205,"PROJCS[""WGS_84_SCAR_IMW_SP21_22"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-60.66666666666666],PARAMETER[""standard_parallel_2"",-63.33333333333334],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-54],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3206,"PROJCS[""WGS_84_SCAR_IMW_SP23_24"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-60.66666666666666],PARAMETER[""standard_parallel_2"",-63.33333333333334],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-42],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3207,"PROJCS[""WGS_84_SCAR_IMW_SQ01_02"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-174],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3208,"PROJCS[""WGS_84_SCAR_IMW_SQ19_20"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-66],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3209,"PROJCS[""WGS_84_SCAR_IMW_SQ21_22"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-54],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3210,"PROJCS[""WGS_84_SCAR_IMW_SQ37_38"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",42],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3211,"PROJCS[""WGS_84_SCAR_IMW_SQ39_40"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",54],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3212,"PROJCS[""WGS_84_SCAR_IMW_SQ41_42"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",66],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3213,"PROJCS[""WGS_84_SCAR_IMW_SQ43_44"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",78],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3214,"PROJCS[""WGS_84_SCAR_IMW_SQ45_46"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",90],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3215,"PROJCS[""WGS_84_SCAR_IMW_SQ47_48"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",102],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3216,"PROJCS[""WGS_84_SCAR_IMW_SQ49_50"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",114],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3217,"PROJCS[""WGS_84_SCAR_IMW_SQ51_52"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",126],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3218,"PROJCS[""WGS_84_SCAR_IMW_SQ53_54"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",138],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3219,"PROJCS[""WGS_84_SCAR_IMW_SQ55_56"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",150],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3220,"PROJCS[""WGS_84_SCAR_IMW_SQ57_58"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-64.66666666666667],PARAMETER[""standard_parallel_2"",-67.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",162],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3221,"PROJCS[""WGS_84_SCAR_IMW_SR13_14"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-102],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3222,"PROJCS[""WGS_84_SCAR_IMW_SR15_16"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-90],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3223,"PROJCS[""WGS_84_SCAR_IMW_SR17_18"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-78],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3224,"PROJCS[""WGS_84_SCAR_IMW_SR19_20"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-66],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3225,"PROJCS[""WGS_84_SCAR_IMW_SR27_28"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-18],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3226,"PROJCS[""WGS_84_SCAR_IMW_SR29_30"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",-6],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3227,"PROJCS[""WGS_84_SCAR_IMW_SR31_32"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",6],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3228,"PROJCS[""WGS_84_SCAR_IMW_SR33_34"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",18],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3229,"PROJCS[""WGS_84_SCAR_IMW_SR35_36"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",30],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3230,"PROJCS[""WGS_84_SCAR_IMW_SR37_38"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",42],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3231,"PROJCS[""WGS_84_SCAR_IMW_SR39_40"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",54],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3232,"PROJCS[""WGS_84_SCAR_IMW_SR41_42"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",66],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3233,"PROJCS[""WGS_84_SCAR_IMW_SR43_44"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",78],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3234,"PROJCS[""WGS_84_SCAR_IMW_SR45_46"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",90],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3235,"PROJCS[""WGS_84_SCAR_IMW_SR47_48"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",102],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3236,"PROJCS[""WGS_84_SCAR_IMW_SR49_50"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",114],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3237,"PROJCS[""WGS_84_SCAR_IMW_SR51_52"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",126],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
3238,"PROJCS[""WGS_84_SCAR_IMW_SR53_54"",GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Lambert_Conformal_Conic""],PARAMETER[""standard_parallel_1"",-68.66666666666667],PARAMETER[""standard_parallel_2"",-71.33333333333333],PARAMETER[""latitude_of_origin"",-90],PARAMETER[""central_meridian"",138],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
