EPSG,ESRI
2021,"PROJCS[""NAD27_76_MTM_zone_12"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-81],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2022,"PROJCS[""NAD27_76_MTM_zone_13"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-84],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2023,"PROJCS[""NAD27_76_MTM_zone_14"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-87],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2024,"PROJCS[""NAD27_76_MTM_zone_15"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-90],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2025,"PROJCS[""NAD27_76_MTM_zone_16"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-93],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2026,"PROJCS[""NAD27_76_MTM_zone_17"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-96],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",304800],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2027,"PROJCS[""NAD27_76_UTM_zone_15N"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-93],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2028,"PROJCS[""NAD27_76_UTM_zone_16N"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-87],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2029,"PROJCS[""NAD27_76_UTM_zone_17N"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-81],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2030,"PROJCS[""NAD27_76_UTM_zone_18N"",GEOGCS[""GCS_NAD27(76)"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-75],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
